Address,City,State,Zip,Value,Sqft,Beds,Baths,BuildYear,DateLastRemodel,DaysOnMarket,LastSaleDate,NextSaleDate,SourceType,Latitude,Longitude,Description
5900 Mosteller Dr #193,Oklahoma City,OK,,"$450,000 ","1,305 sqft",2,2,1960,,,,,AUCTION,,,"Coming to auction this October in one of Oklahoma City's most well-known landmarks Founders Tower. HOA dues include water, basic cable, high-speed internet, and exterior building insurance. Located near Integris Hospital, restaurants, & shopping. 1, 152+/- sf 1BR 1.5BA condo unit with the Jefferson floor plan"
5900 Mosteller Dr #33,Oklahoma City,OK,,"$200,000 ","1,152 sqft",1,2,1960,,,,,AUCTION,,,"Coming to auction this October in one of Oklahoma City's most well-known landmarks Founders Tower. HOA dues include water, basic cable, high-speed internet, and exterior building insurance. Located near Integris Hospital, restaurants, & shopping. 1, 152+/- sf 1BR 1.5BA condo unit with the Jefferson floor plan"
5900 Mosteller Dr #54,Oklahoma City,OK,,"$300,000 ","1,617 sqft",2,3,1960,,,,,AUCTION,,,"Coming to auction this October in one of Oklahoma City's most well-known landmarks Founders Tower. HOA dues include water, basic cable, high-speed internet, and exterior building insurance. Located near Integris Hospital, restaurants, & shopping. 1, 152+/- sf 1BR 1.5BA condo unit with the Jefferson floor plan"
5900 Mosteller Dr #63,Oklahoma City,OK,,"$200,000 ","1,152 sqft",1,2,1960,,,,,AUCTION,,,"Coming to auction this October in one of Oklahoma City's most well-known landmarks Founders Tower. HOA dues include water, basic cable, high-speed internet, and exterior building insurance. Located near Integris Hospital, restaurants, & shopping. 1, 152+/- sf 1BR 1.5BA condo unit with the Jefferson floor plan"
5900 Mosteller Dr #103,Oklahoma City,OK,,"$225,000 ","1,152 sqft",1,2,1960,,,,,AUCTION,,,"Coming to auction this October in one of Oklahoma City's most well-known landmarks Founders Tower. HOA dues include water, basic cable, high-speed internet, and exterior building insurance. Located near Integris Hospital, restaurants, & shopping. 1, 152+/- sf 1BR 1.5BA condo unit with the Jefferson floor plan"
5900 Mosteller Dr #51,Oklahoma City,OK,,"$200,000 ","1,348 sqft",1,2,1960,,,,,AUCTION,,,"Coming to auction this October in one of Oklahoma City's most well-known landmarks Founders Tower. HOA dues include water, basic cable, high-speed internet, and exterior building insurance. Located near Integris Hospital, restaurants, & shopping. 1, 152+/- sf 1BR 1.5BA condo unit with the Jefferson floor plan"
5900 Mosteller Dr #61,Oklahoma City,OK,,"$225,000 ","1,348 sqft",1,2,1960,,,,,AUCTION,,,"Coming to auction this October in one of Oklahoma City's most well-known landmarks Founders Tower. HOA dues include water, basic cable, high-speed internet, and exterior building insurance. Located near Integris Hospital, restaurants, & shopping. 1, 152+/- sf 1BR 1.5BA condo unit with the Jefferson floor plan"
5900 Mosteller Dr #41,Oklahoma City,OK,,"$200,000 ","1,348 sqft",1,2,1960,,,,,AUCTION,,,"Coming to auction this October in one of Oklahoma City's most well-known landmarks Founders Tower. HOA dues include water, basic cable, high-speed internet, and exterior building insurance. Located near Integris Hospital, restaurants, & shopping. 1, 152+/- sf 1BR 1.5BA condo unit with the Jefferson floor plan"
5900 Mosteller Dr #31,Oklahoma City,OK,,"$200,000 ","1,348 sqft",1,2,1960,,,,,AUCTION,,,"Coming to auction this October in one of Oklahoma City's most well-known landmarks Founders Tower. HOA dues include water, basic cable, high-speed internet, and exterior building insurance. Located near Integris Hospital, restaurants, & shopping. 1, 152+/- sf 1BR 1.5BA condo unit with the Jefferson floor plan"
540 Carpenter Trl,Arcadia,OK,,"$499,900 ","3,257 sqft (on 2.07 acres)",4,3,2020,,,,,BANK OWNED,,,"If you've always wanted to build your own house but don't have the patience, here it is! 86% complete and waiting on your final touches! You'll love this secluded lot that is surrounded by nature! - In the garage is a set of stairs leading up to a separate Gameroom or Optional 4th Bedroom with a full bath & place for a mini-bar. The kitchen is open to the living area with Center Island & Huge Center Island - The property is being sold in AS-IS condition - Still needs Plumbing Final, Electrical Final, Pressure Tank, AC Units, Landscaping, Pergola Built for the outdoor Living Space, etc... - It appears to be wired for Security System & Furnaces are in place but all information needs to be verified by the Buyer - Come look and let your creative touch finish out the fun part of building!"
3605 N Donna Ave,Bethany,OK,73008,"$105,900 ","1,128 sqft (on 0.34 acres)",2,2,1948,,,,,BANK OWNED,35.507076,-97.63773,"Attractive Bethany Home. This property features 2 bedrooms, 2 baths, a large living/dining room with wood floors and picture window. Kitchen is spacious with built in desk, tile floors and an eating space. Property also has a carport, sizable back yard with a storage building and gazebo. Close to Eldon Lyon Park! Sold ""AS IS"". Property built prior to1978 lead based paint potentially exists. Buyers to verify all info. This property may qualify for Seller Financing (Vendee)."
17061 Winding Creek Dr,Newalla,OK,74857,"$121,500 ","1,616 sqft (on 1.63 acres)",3,2,1983,,,,,BANK OWNED,35.29685,-97.1676,"Great value for this sized square footage on over 1(MOL) acres of land.3 bedroom/2 bath house that has a great layout. Large living area with fireplace. Kitchen has tons of storage. Garage has been converted but could be converted back . Nice large covered patio. Large above ground storm shelter. Property does need some TLC and is being sold as is. Conveniently located near highway 9, I-40, Turnpike, shopping and schools. Buyer to verify any and all information. Will not qualify for traditional financing! Property has been identified as in FEMA Flood Zone A. Due to the condition, the property may have health/safety risk(s). Prior to entry / access all parties must sign a Hold Harmless Agreement and the property may only be shown by appointment. Seller is Secretary of Veterans Affairs. Seller does not pay abstract/ title/escrow/survey/transfer fees. This property may qualify for Seller Financing (Vendee)."
NW 178th St,Piedmont,OK,,"$550,000 ",,,,,,,,,BANK OWNED,,,
431 NW 47th St,Oklahoma City,OK,73118,Price Unknown,"1,258 sqft",3,1,1950,,,,,"NEW - 1 DAY AGO
AUCTION",35.519608,-97.52016,"431 Nw 47th St, Oklahoma City, OK 73118 is a single family home built in 1950. This property was last sold for $82,500 in 2004 and currently has an estimated value of $188,800. The median sales price for the Douglas Edgemere area is $238,000. The $188,800 estimated value is 15.05% less than the median listing price of $222,250 for the Douglas Edgemere area."
4920 SE 58th Pl,Oklahoma City,OK,73135,Price Unknown,"2,234 sqft",4,2,1978,,,,,AUCTION,35.406837,-97.43121,"This single-family home is located at 4920 SE 58th Pl, Oklahoma City, OK. 4920 SE 58th Pl is in Oklahoma City, OK and in ZIP code 73135. This property has 4 bedrooms, 2 bathrooms and approximately 2,234 sqft of floor space. This property has a lot size of 6,969 sqft and was built in 1978."
3037 N Zedna Dr,Oklahoma City,OK,73107,,"1,392 sqft",3,1,1955,,,,,BANK OWNED,35.499287,-97.593636,"This single-family home is located at 3037 N Zedna Dr, Oklahoma City, OK. 3037 N Zedna Dr is in the Meridian Avenue Corridor neighborhood in Oklahoma City, OK and in ZIP code 73107. This property has 3 bedrooms, 1 bathroom and approximately 1,392 sqft of floor space. This property has a lot size of 6,969 sqft and was built in 1955."
8332 NW 110th Ter,Oklahoma City,OK,73162,Price Unknown,"1,956 sqft",3,2,1983,,,,,AUCTION,35.582844,-97.663414,"This single-family home is located at 8332 NW 110th Ter, Oklahoma City, OK. 8332 NW 110th Ter is in Oklahoma City, OK and in ZIP code 73162. This property has 3 bedrooms, 2 bathrooms and approximately 1,956 sqft of floor space. This property has a lot size of 6,098 sqft and was built in 1983."
6404 Brentford Ter,Oklahoma City,OK,73132,Price Unknown,"2,753 sqft",5,3,1971,,,,,AUCTION,35.56367,-97.62817,"This single-family home is located at 6404 Brentford Ter, Oklahoma City, OK. 6404 Brentford Ter is in Oklahoma City, OK and in ZIP code 73132. This property has 5 bedrooms, 3 bathrooms and approximately 2,753 sqft of floor space. This property has a lot size of 9,147 sqft and was built in 1971."
5916 SE 69th St,Oklahoma City,OK,73135,Price Unknown,"1,411 sqft",3,2,2004,,,,,AUCTION,35.396084,-97.41927,"This single-family home is located at 5916 SE 69th St, Oklahoma City, OK. 5916 SE 69th St is in Oklahoma City, OK and in ZIP code 73135. This property has 3 bedrooms, 2 bathrooms and approximately 1,411 sqft of floor space. This property has a lot size of 6,534 sqft and was built in 2004."
2113 SW 68th St,Oklahoma City,OK,73159,Price Unknown,"1,081 sqft",3,1,1955,,,,,AUCTION,35.397346,-97.54841,"This single-family home is located at 2113 SW 68th St, Oklahoma City, OK. 2113 SW 68th St is in the I-240 Corridor neighborhood in Oklahoma City, OK and in ZIP code 73159. This property has 3 bedrooms, 1 bathroom and approximately 1,081 sqft of floor space. This property has a lot size of 8,712 sqft and was built in 1955."
4201 NW 50th St,Oklahoma City,OK,73121,Price Unknown,"1,905 sqft (on 0.53 acres)",3,2,1964,,,,,"AUCTION
0.53 ACRES",35.52231,-97.44327,"This single-family home is located at 4201 NW 50th St, Oklahoma City, OK. 4201 NW 50th St is in Oklahoma City, OK and in ZIP code 73112. This property has 3 bedrooms, 2 bathrooms and approximately 1,905 sqft of floor space. This property has a lot size of 0.53 acres and was built in 1964."
5029 Federal Ct,Oklahoma City,OK,73135,Price Unknown,"1,303 sqft",3,1,1977,,,,,AUCTION,35.41476,-97.43968,"This single-family home is located at 5029 Federal Ct, Oklahoma City, OK. 5029 Federal Ct is in Oklahoma City, OK and in ZIP code 73135. This property has 3 bedrooms, 1 bathroom and approximately 1,303 sqft of floor space. This property has a lot size of 6,969 sqft and was built in 1977."
620 SW 49th St,Oklahoma City,OK,73109,Price Unknown,"1,103 sqft",3,1,1949,,,,,AUCTION,35.416206,-97.52397,This remodeled 3 bed 1 bath is perfect for first time home buyers or investors. Owner has updated floors and replaced most of the windows in the home. Large backyard with storage shed and plenty of space to entertain or let the kids play. Minutes from I-35 and I-240 with easy access to restaurants and downtown.
9500 SW 33rd St,Oklahoma City,OK,73179,Price Unknown,"2,755 sqft (on 0.29 acres)",4,4,1994,,,,,"AUCTION
0.29 ACRES",35.429974,-97.68342,"Large two story Home? Yes! This is the perfect home for you! This stunning Home offers two large master suites, One upstairs, one down with jetted tub, ideal for live-in parents. Two living rooms and two dining room. Home was extensively remodeled with all new granite, new carpet, paint, stainless steel appliances, plumbing fixture, lighting fixture and ceiling fans, new roof, and more! Warm colors, massive rooms, tons of attic decking for extra storage! A large covered patio for entertaining, small patio for tea and breakfast, balcony off of master suite for moon light viewing. Multi-zone sprinkler system, play set for the little ones. Storm shelter in garage."
2408 N Glenhaven Dr,Oklahoma City,OK,73110,,"2,572 sqft",Studio,2.5,,,,,,BANK OWNED,35.46124,-97.40475,
16200 Royal Crest Ln,Edmond,OK,73013,Price Unknown,"2,203 sqft (on 3 acres)",4,2,2014,,,,,AUCTION,35.634304,-97.57211,"***Will work with buyer's agents!***
BEAUTIFUL home in highly desirable Regency Pointe! Home is only one year old and was a custom build with tons of upgrades. Seller added fence, 8-person storm shelter, and 450 square foot bonus room with full bath all since 2015. Soaring 14-foot ceilings with decorative wood beam in main living area and kitchen. Gorgeous decorative vent hood, stainless steel appliances, wine bar, gas range, granite countertops, and 9-foot kitchen island with single-basin sink. Living room has beautiful stone fireplace with gas logs and tons of natural light. Formal dining area has designer chandelier and built-in hutch. Huge walk-in pantry, mud bench, and tons of storage. Extensive hard wood flooring and 6-foot windows throughout home. 4 bedrooms and 2 baths downstairs; one bed would also make a great office. Upstairs is a 450+ square foot bonus room with its own closet and private full bath - it makes a perfect playroom/ media room or could also be a huge 5th bedroom. Very private, fenced backyard that is shaded in the hot Oklahoma afternoons. Sprinkler system in front and back yards. Huge covered patio is cable/tv ready. Tandem 3-car garage with 8 person in-ground storm shelter. Too many more upgrades to list! Neighborhood offers community pool, park, and beautiful fishing pond. Edmond Schools! Call/text (501) 278-1585 or email wsmoore23@gmail.com to schedule a showing!"
30708 Kickapoo Rd,Mcloud,OK,74851,,"1,486 sqft (on 1 acre)",3,2,1950,,,,,"BANK OWNED
3 ACRES",35.449226,-97.11231,"Invest with Success.
Buy Through Auction.com.

This bank-owned investment property is a great opportunity to rehab and flip for potential profit or rent out for long-term income. This 2,203 square feet property features 3 beds and 2.0 baths. It is located in Pottawatomie County in the city of Mcloud.
Visit Auction.com to find additional property details, time-saving reports, and important auction information.

About Auction.com
As the nation's leading online investment property marketplace, we offer the most exclusive foreclosure and bank-owned property deals nationwide. Buyers can search, bid, and win properties on our secure platform or at our in-person auction events with the help of our support team every step of the way."
1226 W Heidi Way,Mustang,OK,73064,Price Unknown,"1,291 sqft",3,1,1984,,,,,"AUCTION
1 ACRE",35.397427,-97.75015,"This single-family home is located at 1226 W Heidi Way, Mustang, OK. 1226 W Heidi Way is in Mustang, OK and in ZIP code 73064. This property has 3 bedrooms, 2 bathrooms and approximately 1,486 sqft of floor space. This property has a lot size of 1.00 acres and was built in 1984."
339 E Carson Ln,Mustang,OK,73064,Price Unknown,"1,710 sqft (on 1.37 acres)",3,2,1975,,,,,AUCTION,35.381138,-97.71881,"This single-family home is located at 339 E Carson Ln, Mustang, OK. 339 E Carson Ln is in Mustang, OK and in ZIP code 73064. This property has 3 bedrooms, 1 bathroom and approximately 1,291 sqft of floor space. This property has a lot size of 10,000 sqft and was built in 1975."
990 County Street 2976,Blanchard,OK,73010,Price Unknown,"3,680 sqft (on 0.44 acres)",3,3,1987,,,,,"AUCTION
1.37 ACRES",35.247787,-97.695305,"This single-family home is located at 990 County Street 2976, Blanchard, OK. 990 County Street 2976 is in Blanchard, OK and in ZIP code 73010. This property has 3 bedrooms, 2 bathrooms and approximately 1,710 sqft of floor space. This property has a lot size of 1.37 acres and was built in 1987."
12625 Chisholm Spur,Yukon,OK,73099,Price Unknown,"1,702 sqft",7,2,1996,,,,,"AUCTION
0.44 ACRES",35.461376,-97.75231,"This single-family home is located at 12625 Chisholm Spur, Yukon, OK. 12625 Chisholm Spur is in Yukon, OK and in ZIP code 73099. This property has 7 bedrooms, 3 bathrooms and approximately 3,680 sqft of floor space. This property has a lot size of 0.44 acres and was built in 1996."
1038 Cambridge Dr,Yukon,OK,73099,,"1,200 sqft",3,2,1974,,,,,BANK OWNED,35.495575,-97.72521,"Invest with Success.
Buy Through Auction.com.

This bank-owned investment property is a great opportunity to rehab and flip for potential profit or rent out for long-term income. This 1,702 square feet property features 3 beds and 2.0 baths. It is located in Canadian County in the city of Yukon.
Visit Auction.com to find additional property details, time-saving reports, and important auction information.

About Auction.com
As the nation's leading online investment property marketplace, we offer the most exclusive foreclosure and bank-owned property deals nationwide. Buyers can search, bid, and win properties on our secure platform or at our in-person auction events with the help of our support team every step of the way."
1408 Bill Carroll Dr,Norman,OK,73071,Price Unknown,"1,353 sqft",3,2,1972,,,,,AUCTION,35.216965,-97.4194,
213 Cindy Ave,Norman,OK,73071,Price Unknown,,3,,1980,,,,,AUCTION,35.221123,-97.41047,"This single-family home is located at 213 Cindy Ave, Norman, OK. 213 Cindy Ave is in Norman, OK and in ZIP code 73071. This property has 3 bedrooms, 2 bathrooms and approximately 1,353 sqft of floor space. This property has a lot size of 8,276 sqft and was built in 1980."
5925 SE 68TH ST,OKLAHOMA CITY,OK,73135,"115,000","1,555",3,2,2004,,,,11/4/2021,Sheriff,35.397015,-97.41941,"Come see this freshly painted home with brand new carpet! Located just minutes away from Tinker and I-240, it is convenient to the city and all the amenities that surround you. This adorable home offers three bedrooms and two baths with a split floor plan. All bedrooms are very generous in size with great closets and plenty of storage space. The master bedroom is large enough for a king bed, a fantastic en suite bath offering double sinks, an open wall perfect for shelves and an amazing master closet. The main area is open to the living, kitchen and breakfast bar and dining room perfect for entertaining. Just off the kitchen is the laundry room with a wall of open shelves perfect for appliances and easy access to the groceries. The backyard offers a covered patio with a great yard perfect for games and running around. The garage offers a storm shelter and is deep with extra room for storage shelves or an extra refrigerator.This home is very clean and just waiting for its new owner!"
620 SW 49TH ST,OKLAHOMA CITY,OK,73109,"80,000","1,103",3,1,1949,,,,11/4/2021,Sheriff,35.416206,-97.52397,This remodeled 3 bed 1 bath is perfect for first time home buyers or investors. Owner has updated floors and replaced most of the windows in the home. Large backyard with storage shed and plenty of space to entertain or let the kids play. Minutes from I-35 and I-240 with easy access to restaurants and downtown.
4920 SE 58TH PL,OKLAHOMA CITY,OK,73135,"125,000","2,234",4,2,1978,,,,11/4/2021,Sheriff,35.406837,-97.43121,"This single-family home is located at 4920 SE 58th Pl, Oklahoma City, OK. 4920 SE 58th Pl is in Oklahoma City, OK and in ZIP code 73135. This property has 4 bedrooms, 2 bathrooms and approximately 2,234 sqft of floor space. This property has a lot size of 6,969 sqft and was built in 1978."
3024 OVERLAND DR,DEL CITY,OK,73115,"45,000","1,958",3,1.5,1964,1979,,,11/4/2021,Sheriff,35.4263,-97.45817,
5916 SE 69TH ST,OKLAHOMA CITY,OK,73135,"130,000","1,411",3,2,2004,,,,11/4/2021,Sheriff,35.396084,-97.41927,"This single-family home is located at 5916 SE 69th St, Oklahoma City, OK. 5916 SE 69th St is in Oklahoma City, OK and in ZIP code 73135. This property has 3 bedrooms, 2 bathrooms and approximately 1,411 sqft of floor space. This property has a lot size of 6,534 sqft and was built in 2004."
7101 NW 20TH ST,BETHANY,OK,73008,"35,000",810,3,1,1964,,,,11/4/2021,Sheriff,35.490173,-97.6367,"This single-family home is located at 7101 NW 20th St, Bethany, OK. 7101 NW 20th St is in Bethany, OK and in ZIP code 73008. This property has 3 bedrooms, 1 bathroom and approximately 810 sqft of floor space. This property has a lot size of 5,998 sqft and was built in 1964."
1704 LEAWOOD DR,EDMOND,OK,73034,"210,000","2,133",4,2,1977,,,,11/4/2021,Sheriff,35.671803,-97.428154,"This single-family home is located at 1704 Leawood Dr, Edmond, OK. 1704 Leawood Dr is in Edmond, OK and in ZIP code 73034. This property has 4 bedrooms, 2 bathrooms and approximately 2,133 sqft of floor space. This property has a lot size of 1.00 acres and was built in 1977."
8332 NW 110TH TER,OKLAHOMA CITY,OK,73162,"150,000","1,956",3,2,1983,,,,11/4/2021,Sheriff,35.582844,-97.663414,"This single-family home is located at 8332 NW 110th Ter, Oklahoma City, OK. 8332 NW 110th Ter is in Oklahoma City, OK and in ZIP code 73162. This property has 3 bedrooms, 2 bathrooms and approximately 1,956 sqft of floor space. This property has a lot size of 6,098 sqft and was built in 1983."
1028 SW 53RD ST,OKLAHOMA CITY,OK,73109,"80,000","1,574",3,1,1958,2008,,,11/4/2021,Sheriff,35.412014,-97.53319,"This single-family home is located at 1028 SW 53rd St, Oklahoma City, OK. 1028 SW 53rd St is in Oklahoma City, OK and in ZIP code 73109. This property has 3 bedrooms, 1 bathroom and approximately 1,574 sqft of floor space. This property has a lot size of 7,802 sqft and was built in 1958."
9317 APPLE DR,MIDWEST CITY,OK,73130,"165,000","1,883",3,2,2004,,,,11/4/2021,Sheriff,35.443455,-97.36662,"This single-family home is located at 9317 Apple Dr, Midwest City, OK. 9317 Apple Dr is in Midwest City, OK and in ZIP code 73130. This property has 3 bedrooms, 2 bathrooms and approximately 1,883 sqft of floor space. This property has a lot size of 7,453 sqft and was built in 2004."
3801 OLD FOREST LN,OKLAHOMA CITY,OK,,"1,200,000","5,633",4,5,2006,,,,11/4/2021,Sheriff,,,"This single-family home is located at 3801 Old Forest Ln, Oklahoma City, OK. 3801 Old Forest Ln is in Oklahoma City, OK and in ZIP code 73131. This property has 4 bedrooms, 5 bathrooms and approximately 5,633 sqft of floor space. This property has a lot size of 0.73 acres and was built in 2006."
4201 NW 50TH ST,OKLAHOMA CITY,OK,73121,"50,000","1,905",3,2,1964,,,,11/4/2021,Sheriff,35.52231,-97.44327,"This single-family home is located at 4201 NW 50th St, Oklahoma City, OK. 4201 NW 50th St is in Oklahoma City, OK and in ZIP code 73112. This property has 3 bedrooms, 2 bathrooms and approximately 1,905 sqft of floor space. This property has a lot size of 0.53 acres and was built in 1964."
4521 SE 80TH ST,OKLAHOMA CITY,OK,73135,"120,000","1,223",3,2,2006,,,,11/4/2021,Sheriff,35.38574,-97.43662,Enter this nice home into the Open Living-Dining-Kitchen area! Kitchen has small Breakfast bar-nice Black Appliances and a great corner Pantry! Utility and really clean Garage are off to one side and the 3 Bedrooms and 2 Baths are on the other! Come see this Cozy & Clean 3 Bedroom-2 Bathroom Home in a great Location-just off I-240-Close to numerous amenities and convenient for commuting!
3037 N ZEDNA DR,OKLAHOMA CITY,OK,73107,"65,000","1,392",3,1,1955,,,,11/4/2021,Sheriff,35.499287,-97.593636,"This single-family home is located at 3037 N Zedna Dr, Oklahoma City, OK. 3037 N Zedna Dr is in the Meridian Avenue Corridor neighborhood in Oklahoma City, OK and in ZIP code 73107. This property has 3 bedrooms, 1 bathroom and approximately 1,392 sqft of floor space. This property has a lot size of 6,969 sqft and was built in 1955."
5029 FEDERAL CT,OKLAHOMA CITY,OK,73135,"90,000","1,303",3,2,1977,2003,,,11/4/2021,Sheriff,35.41476,-97.43968,"This single-family home is located at 5029 Federal Ct, Oklahoma City, OK. 5029 Federal Ct is in Oklahoma City, OK and in ZIP code 73135. This property has 3 bedrooms, 1 bathroom and approximately 1,303 sqft of floor space. This property has a lot size of 6,969 sqft and was built in 1977."
1400 MARYDALE AVE,MIDWEST CITY,OK,73130,"40,000",816,2,1,1955,,,,11/4/2021,Sheriff,35.48173,-97.36578,"Great little home on a large lot! Just needs a little TLC. Has an extra room that could function as another bedroom, but has no closet. Buyer to verify schools."
2408 W GLENHAVEN DR,MIDWEST CITY,OK,73110,"75,000","1,483",3,1.5,1954,1978,,,11/4/2021,Sheriff,35.46124,-97.40475,
9113 BROOKWOOD DR,MIDWEST CITY,OK,73130,"170,000","2,454",3,2.5,2004,,,,11/4/2021,Sheriff,35.470898,-97.368004,"Invest with Success.
Buy Through Auction.com.

This foreclosure investment property is a great opportunity to rehab and flip for potential profit or rent out for long-term income. This 2,454 square feet property features 3 beds and 2.5 baths. It is located in Oklahoma County in the city of Midwest City. Be ready to bid and buy at auction on 12-02-2021.

Visit Auction.com to find additional property details, time-saving reports, and important auction information.

About Auction.com
As the nation's leading online investment property marketplace, we offer the most exclusive foreclosure and bank-owned property deals nationwide. Buyers can search, bid, and win properties on our secure platform or at our in-person auction events with the help of our support team every step of the way."
1410 PINERIDGE RD,MIDWEST CITY,OK,73130,"500,000","5,644",4,3,2003,,,,11/4/2021,Sheriff,35.450344,-97.363716,
6404 BRENTFORD TER,OKLAHOMA CITY,OK,73132,"170,000","2,753",5,3.5,1971,2014,,,11/4/2021,Sheriff,35.56367,-97.62817,"This single-family home is located at 6404 Brentford Ter, Oklahoma City, OK. 6404 Brentford Ter is in Oklahoma City, OK and in ZIP code 73132. This property has 5 bedrooms, 3 bathrooms and approximately 2,753 sqft of floor space. This property has a lot size of 9,147 sqft and was built in 1971."
2113 SW 68TH ST,OKLAHOMA CITY,OK,73159,"75,000","1,081",3,1,1955,1970,,,11/4/2021,Sheriff,35.397346,-97.54841,"This single-family home is located at 2113 SW 68th St, Oklahoma City, OK. 2113 SW 68th St is in the I-240 Corridor neighborhood in Oklahoma City, OK and in ZIP code 73159. This property has 3 bedrooms, 1 bathroom and approximately 1,081 sqft of floor space. This property has a lot size of 8,712 sqft and was built in 1955."
