Price,Beds,Bath,Sqft,Address,City,State,Zip,Description
"$155,000 ",3bd,2ba,"1,254 sqft",6209 NW 34th St,Bethany,OK,73008,"This home a well built home and ready for just a few finishing touches to make all of the renovations complete. THIS BETHANY HOUSE HAS A GREAT DEAL OF POTENTIAL with Seller Offering $10,000 FOR INVESTORS OR SOMEONE WHO WANTS TO PUT THE FINISHING TOUCHES ON ITS RENOVATIONS. Built 1952 and remodeled for the past few years, came to a halt. Living room has hard wood floors and a gas fireplace that will warm the who house, 3 Bedrooms and 2 Full Baths, 1 Car Garage plus Carport. Nice, Quiet Neighborhood! Living Room has hard wood floors, ceiling fan and gas fireplace, Kitchen/Dining with lots of cabinets, counterspace and Electric stove/oven, s/s sink. Inside the house Laundry and large Pantry/Storage area. Wood Flooring throughout, Bathroom with newer beautiful Whirlpool tub, walk-in Closet and shower area (this area needs to be completed) Property being sold in AS-IS condition. Lg fenced backyard with out bldg.. Mineral rights reserved. For your own personal showing call today"
"$340,000 ",4bd,3ba,"2,819 sqft (on 0.52 acres)",8009 Brownsville Ln,Bethany,OK,73008,"From the moment you step on the circle drive, you will fall in love with every aspect of this beautiful charm in the prestigious Brownsville addition. Custom built home by Phil Brown with exceptional quality. Well cared for home with storage galore. This gorgeous gem with a flexible floor plan is nesting on a 0.52 acres lot. Gourmet kitchen with plenty of cabinets, granite counter tops, built in oven & electric stove top. Oversized breakfast area with lots of built ins. Wood burning fire place & a full wet bar in the living room area. Granite countertops in master bath & powder room, central vacuum, 3 car garage with a back access alley, shop and storage shed. Enjoy the privacy of having master bed, 3 secondary bedrooms, and 2 full baths on the second floor while having company & entertaining on first floor. Great location! Close to Southern Nazarene & Southwestern Christian Universities. Easy access to Route 66, I-40, Kilpatrick Turnpike & Downtown Bethany's shopping and restaurants."
"$114,900 ",2bd,1ba,750 sqft,6301 NW 33rd St,Bethany,OK,73008,"Perfect investor property. New siding, refinished hardwood floors and updated bathroom in 2019. Tenant occupied and leased through July 2022. To be sold ""as is"" This house is perfect for the new or experienced investor. Good cash flow from current lease. This property offered individually or can be packaged with MLS 979995 and 980030"
"$129,900 ",3bd,1ba,940 sqft,6305 NW 33rd St,Bethany,OK,73008,"Great investor property.. Many updates in the last 2 years. Tenant occupied. Close to shopping and restaurants. House is leased through March 2022 House to be sold ""as is"" Good cash flow from current lease makes this a great investment. This property offered individually or packaged with MLS 979995 and 980015"
"$495,000 ",5bd,4ba,"4,954 sqft (on 0.79 acres)",3208 N Alexander Ln,Bethany,OK,73008,"Multigenerational home with lots of room to spread out! Original home is 3922 sf with an attached apartment with an addt'l 1032 sf. The apartment has a separate entrance & includes a living room w/ a fireplace & bookcase, full size kitchen with plenty of cabinet space, breakfast bar, full size stove, dishwasher, & walk in pantry, full size washer/dryer hookups, bedroom w/ two walk in closets & a full bath. The main house downstairs includes the following: Living room with a fireplace & bookcase. Formal dining & eating space w/ a hutch. Kitchen w/ granite counters, an island, & pantry. Master bedroom w/ 3 walk in closets & a full bath w/ double vanities, a shower & a tub. Bedroom w/ a walk in closet & full bath that could be an office. Two bedrooms that have the middle wall removed, each w/ a walk in closet. Upstairs has two bedrooms w/ a jack n jill bath, & a bonus room w/ a walk in closet that could be another bedroom. Check out the virtual tour link."
"$189,500 ",4bd,3ba,"2,166 sqft",5006 N Mueller Ave,Bethany,OK,73008,"So much charm and potential in Bethany Schools! Fireplace, claw tubs, some original fixtures and mil plan! Plus a large lot, shop in back, and beautiful established trees!"
"$175,000 ",3bd,2ba,"1,626 sqft",7720 NW 25th Ter,Bethany,OK,73008,"Nice quiet Bethany neighborhood close to all Oklahoma City amenities, highways, shopping and close to Lake Overholser. 3 beds with a Jack & Jill bath with shower between 2 beds. Master bath has access to the hallway. Family room has a very nice fireplace. Shed in the back yard"
"$230,000 ",3bd,3ba,"2,080 sqft",4808 N Willow Ave,Bethany,OK,73008,"Great house in highly sought after Bethany Schools. This well loved home has 3 bed 1.5 bath, an attached garage with 15X28 shop with a full bathroom along with an extra storage shed in the backyard. The real wood burning stove will welcome you home after a long day. Newer roof and HVAC. The large storm shelter can fit more than 10 people. Bethany schools are just half a mile away, so getting the kids to school will be no problem. Schedule your showing today!"
"$214,000 ",3bd,2ba,"1,868 sqft",7620 NW 20th St,Bethany,OK,73008,"Gorgeous remodeled home in quiet, established neighborhood. Huge living room, spacious updated kitchen with granite counters, island, built-in hutch and built-in desk. Incredible updated master bath with walk-in closet, granite double vanities, garden tub and beautiful shower. Very large dining room has gas log fireplace! 3rd bedroom could also be a wonderful second living room with its floor-to-ceiling windows and backyard access. Very large storage building perfect for a home shop. Large covered patio with fire pit. Beautiful and spacious home!"
"$104,900 ",3bd,1ba,819 sqft (on 0.30 acres),7006 NW 61st Ter,Bethany,OK,73008,"Newly remodeled. New carpet in bedrooms, new floors, new paint, new ceiling fans. Bring some 1950s charm in to your life with this cozy 3 bedroom, 1 bath home in the Northwest Lawn addition of Bethany, OK. This charming home opens directly into the heart of the home - the living room. Living room features cool tone neutral color palette set off beautifully by the bright white trim. Durable, easy-clean, faux-wood, tile flooring flows seamlessly into the dining nook. Ceiling fans in living and dining. Kitchen boasts gas stove top, easy care counter tops, refrigerator, and washer hook up. Dryer hook up is in garage. All three bedrooms offer carpet flooring, ceiling fans, and slide close closet doors. Bath has additional counter space, newer sink, and tile surround shower/tub combo. Security door bell installed. Storage shed in back. Large, lush backyard. Putnam City Schools."
"$410,000 ",5bd,3ba,"2,643 sqft (on 0.95 acres)",1419 County Street 2977,Blanchard,OK,73010,
"$344,000 ",4bd,2ba,"2,278 sqft (on 1.04 acres)",1181 Indigo,Blanchard,OK,73010,"This is the one! Newer carpet, tile and interior paint, neat and clean plus a very open living/kitchen plan with granite counters and breakfast bar, newer stainless steel appliances, pantry and formal dining space. Very large bedrooms, Owner's has nice size walk-in closet, plus awesome bath with dbl vanities, sep. shower and whirlpool tub. Lots of storage throughout. Exterior features include extended patio and sidewalks plus a magnificent cover for all seasons enjoyment, fire pit and privacy fence as well as detached garage/workshop ( that has electric) and carport for extra car coverage and beautiful landscaping, asphalt drive, fountain, and koi pond. Great quiet area for you and your family to enjoy on this large corner acreage."
"$459,000 ",4bd,3ba,"2,832 sqft (on 1.36 acres)",856 Liveoak Ln,Blanchard,OK,73010,"This wonderful home is nestled on a 1.35 acre lot, has that it factor when you pull up, & is available in the well sought after Oakmont Addition. 3 bedrooms, 2 full bath, oversized 2 car garage that can fit 3 cars, 1 powder bath, a formal dining, one study, a living area, kitchen, breakfast nook downstairs, & upstairs is a 4th bedroom and or bonus room. You will see the richness of the dark stained wood work, crown molding, tons of trim carpentry, built ins, etc. The master suite has a double vanity in the bathroom, lots of storage, a separate toilet area, a large master closet with a built in dresser. The two extra bedrooms downstairs have nice walk in closets with built in dressers, and share a Jack & Jill bathroom. New roof & new carpet 2020. Covered back patio with a peaceful view for these Fall evenings, sprinkler system in the front and back, and storm shelter in the garage. The back yard has plenty of room to add a pool and or shop (metal ok). Make this your home while you can!!"
"$398,000 ",4bd,3ba,"2,400 sqft (on 2 acres)",570 Windmill Ave,Blanchard,OK,73010,"Beautiful *NEW* Build sitting on 2 peaceful acres. Home should be finished within the next 2-3 weeks. 4 bedrooms, 1 could be an office. Split floor plan, open concept, lots of storage, tankless water heater, plumbed for a water softener, ceiling fans throughout, wood look tile, carpet in the bedrooms, security system available, garbage disposal, built-in: microwave, electric oven, gas cook top, granite counter tops, island, fully guttered, big covered back patio, spray foamed attic & walls, & a fully sodded yard. Builder's 1 year warranty. City of Blanchard -water, trash & road maintenance. OEC for Electric & Pioneer for Telephone/Internet. Propane tank is leased with Morrison Propane. Metal Shops are allowed. HOA is Inactive at this time, no dues. Property is in a great location to Norman, Chickasha, OKC & surrounding area. Blanchard is just a few minutes south where you can grab your groceries or eat at a local restaurant. Pics to be updated once build is completed."
"$199,000 ",4bd,2ba,"2,364 sqft (on 4.10 acres)",3579 SW 8th St,Blanchard,OK,73010,"Country charm, fully bricked manufactured home on 4 acres in Blanchard. Private and secluded property, but still close to town.4 bedrooms, 2 baths, 2 living areas, 2 dining areas, with a fireplace and an island in the kitchen. Lots of space to live, work and play. Plenty of land to add one shop!"
"$359,900 ",3bd,3ba,"2,155 sqft (on 0.26 acres)",463 Isabella Dr,Blanchard,OK,73010,
"$340,000 ",3bd,4ba,"2,383 sqft (on 0.52 acres)",12642 Bridlewood Ln,Blanchard,OK,73010,"**New Construction ** Located on a half an acre in the Bridlewood Ranch Community. It has a Very Spacious Open Floor Plan and you will love the spacious 1/2 acre lot. The home is 3 bed, 2 full baths, 2 half baths, a study, and a huge bonus room upstairs. American Standard Homes are know for their beautiful custom builds all throughout the OKC metro and surrounding areas. Don't miss your opportunity on this fabulous home."
"$187,000 ",3bd,2ba,"2,036 sqft (on 1 acre)",320 SE 7th St,Blanchard,OK,73010,"This house has ALL the character!! Located in town, with the perfect country vibe and a sense of seclusion. 3 beds and 2 baths located down stairs. Upstairs has 2 separated loft areas perfect for a kids hang out! Also features a large covered outdoor patio, fire pit and basketball goal! You don't want to miss out on this property!"
"$339,000 ",3bd,2ba,"2,358 sqft (on 1.11 acres)",1508 Red Fox Cir,Blanchard,OK,73010,"It doesn't get much better than this! Enjoy the peace & quiet living on an acreage in a cul-de-sac brings! This wonderful 3 bedroom, 2 bath home also features a spacious bonus room that could be a 4th bedroom or second living area. There is also space and plumbing to allow for another bedroom & bath upstairs. Among the home's highlights: a cathedral ceiling in living, a split floor plan with secondary bedrooms separate from primary, over & under cabinet lighting & a storm shelter. A 24x24 workshop boasts concrete flooring, electric & a garage door on each end. Lot is 1.1 acres... plenty of room to run and play! Driveway even has extra concrete for additional parking. Seller has meticulously cared for home & has all records since construction. Recent improvements include roof & guttering (2020), HVAC (2019), fence (2019) & exterior paint (2014). Blanchard schools. Homes like this one are hard to find these days- act fast before it's gone!"
"$175,000 ",4bd,2ba,"1,260 sqft",545 SW 12th St,Blanchard,OK,73010,"*THIS HOME IS AVAILABLE TO ALL BUYERS, BUT MAY ALSO QUALIFY FOR SPECIAL DISCOUNT PRICING & NO-DOWNPAYMENT/NO CLOSING COSTS/NO MORTGAGE INSURANCE FINANCING FOR QUALIFIED BUYERS (Income limits apply)* Great new home in Blanchard! You'll love relaxing on the large covered front porch of your new low-maintenance, energy-efficient home! Thoughtful floor plan w/ kitchen open to the living room, and offering a nice breakfast bar plus a dining area. Impressive energy saving features, like geothermal HVAC and dual-pane thermal windows for super low utility bills. Additional features include a sodded yard, automatic garage door opener, fenced back yard, and class 4 impact resistant roofing that may save you big-time on your homeowner's insurance. Spacious yard and a convenient location with easy access to main roads. This new construction is nearing completion and will be ready for interior photos soon. Builder has estimated a completion date around early‌‌‌‌‌‌‌‌ December."
"$389,500 ",4bd,3ba,"2,946 sqft (on 4.64 acres)",3420 NE 122nd St,Edmond,OK,73013,"Excellent fixer upper in fantastic location on 4.64 acres! Lot and layout has great development potential with plenty of equity and upside. Don't miss out on the all the potential this home has to offer, schedule your showing today! This property is PRICED TO MOVE! Make your offer today! House is being sold ""As-Is"". *Buyer to verify school district*"
"$319,900 ",3bd,2ba,"1,651 sqft",15921 Capri Ln,Edmond,OK,73013,"Wow! This house will make you feel right at home. The quality of workmanship that this builder provides will give you peace of mind as well as a stylish contemporary interior. An open concept with a vaulted ceiling and a gas fireplace in living room, and a huge island with quartz counters in your new kitchen. A well rounded floorplan, with wood tile flooring in the main area- kitchen, dining and living room. A spacious owners retreat with spa like bathroom with a freestanding tub, amazing designer tile in the separate shower, and a walk-in closet with cubbies. Additional features: 8 foot garage doors, sprinkler system and security system. Community pool, walking trails and pond, and Deer Creek Schools. All of today's modern materials and colors are utilized to bring you the best home for your money. Welcome Home!"
"$324,900 ",3bd,2ba,"1,739 sqft",15929 Capri Ln,Edmond,OK,73013,"This is what you have been looking for! You will love the modern designer finishes in this spacious new home in Deer Creek Park! Beyond the foyer is the bright, open living room featuring a gas fireplace that is the focal point, surrounded by stunning wood tile. Enjoy dining with your guests in the dining area or in the kitchen with additional sitting at the breakfast bar. The chef of the family will fall in love with this kitchen with abundant cabinetry, a contemporary feel including a huge central island with quartz counters, and stainless appliances including a gas range. The serene owners suite features a spa-inspired bathroom boasts a free standing tub, separate shower and vanity with dual sinks. Separate laundry area for today’s busy family. Sprinkler system and security system. This home has everything you could want & more! Neighborhood amenities include a pool, playground, & basketball court. Welcome Home! deep lot"
"$399,900 ",4bd,3ba,"2,209 sqft",6120 NW 157th St,Edmond,OK,73013,"Wow, this is what you have been looking for! You will love the modern designer finishes in this spacious new home in Deer Creek Village! Beyond the foyer is the bright, open living room featuring vaulted ceiling, a corner gas fireplace that is the focal point, surrounded by stunning wood tile. Enjoy dining with your guests in the large kitchen with additional sitting at the breakfast bar. The chef of the family will fall in love with this kitchen with abundant cabinetry and a contemporary feel. The serene master suite features a tray ceiling, and spa-inspired master bathroom boasts a soaking tub, walk-in shower & dual vanity. Separate laundry area for today’s busy family. This home has everything you could want & more! Neighborhood amenities include a pool, clubhouse, workout facility, playground, & basketball court. Additionally, a stocked fish pond, walking trails, & soccer field. Welcome Home!"
"$339,500 ",4bd,2ba,"1,822 sqft",15917 Capri Ln,Edmond,OK,73013,"This builder delivers a beautiful and well-made product. Home offers the popular open concept living space including a family room with a cathedral ceiling, open kitchen and dining space. All of these areas are flooded with natural light from abundant windows in back of the home. The modern kitchen has stainless steel appliances and displays hand selected tile backsplash, while designer light fixtures delight you throughout the home! The owners suite is generous with double vanity space with quartz counters. Amazing master closet with cubbies. Imagine making memories with family and friends in this gorgeous and inviting home. Deer Creek Schools. Security system and smart thermostat. Sprinkler System. The Deer Creek Park community offers the trifecta: amazing location in a budding area, Neighborhood amenities you can really use, such as pool, pond, playground, walking trails, and of course… modern yet comfortable new homes! Welcome Home!"
"$332,900 ",3bd,2ba,"1,739 sqft",15913 Capri Ln,Edmond,OK,73013,"Both practical and chic, this modern home design delivers standout style with a fabulous layout and deep oversized backyard with covered patio porch. This Premier builder adds all of the designer touches you are looking for. A spacious living room with stunning fireplace and vaulted ceiling, is apart of the open concept that flows seamlessly into the kitchen with stunning counters and gas cook-top. Adjacent dining space with modern lighting perfect for family gatherings. A walk in pantry serves the kitchen. As a true beloved split plan, you'll find the secondary beds and baths on one side of the home, while the owners retreat resides in privacy on the other. The bath has a luxurious feel with a free standing tub, quartz counter, and walk in shower. Sprinkler system. Thoughtful extras have been included everywhere you look. Deer Creek community with neighborhood pool, playground, and basketball court - all of the amenities you will actually use! Welcome Home!"
"$319,900 ",3bd,2ba,"1,739 sqft",6301 NW 159th St,Edmond,OK,73013,"Ready now for move in! Be a part of Deer Creek's best community.... Deer Creek Park! A well-designed kitchen, stocked with carefully selected appliances, tile & backsplash, gleaming counter tops and lighting, includes wrap around breakfast bar with counter seating, walk-in pantry, and gas range. The great room has plenty of space for all types furniture arrangement options, with a center fireplace to serve as the focal point. The spacious owners bedroom features a huge walk-in closet, and a luxurious freestanding tub as the feature of the bathroom with double vanities. It's the little things that count! Relaxing under the covered back patio is the perfect place to end the day. This home is full of details to notice and enjoy, quality modern finishes and much more. Neighborhood amenities include a pool and playground. Welcome Home!"
"$490,000 ",3bd,2ba,"2,192 sqft",16412 Loire West Dr,Edmond,OK,73013,"Ready Dec 2021 or Jan 2022 A revised Preston floor plan in Camden Park. Generous size living great outdoor living space/covered patio. Engineered Wood floors, irrigation, TREX fencing, full guttering, designer tiles/finishes. A private primary bedroom retreat is tucked away for extra privacy, generous size closet+linen/storage. The utility room connects to the master bath for convenience. A flex room is great for a 3rd bed/study or hobby room. Stairs from the garage lead to the attic for easy access to storage. Kitchen Aide appliances-gas range-built in oven/microwave are perfect for the chef & entertaining. This charming home has no wasted space & offers beautiful natural light. Camden Park's clubhouse has a resort style pool, fitness rm, large living/gather area, kitchen, coffee bar, covered outdoor living space, firepit, built in grill & is available for residents to reserve for their own personal use. Lawn care included in HOA."
"$405,356 ",4bd,4ba,"2,535 sqft",4208 NW 156th Ter,Edmond,OK,73013,"There is plenty of room to grow in this 4 Bedroom, + LARGE Bonus Room, 3.5 Bathrooms, and 3 car garage home! And the best part, this home site is on a great lot on a corner in Lone Oak East! Be prepared to fall in love with the living room because of the beautiful fireplace with floating pine mantel, wood look tile, and tons of natural lighting! The ELITE kitchen features gorgeous custom made soft-shut painted cabinetry, under cabinet LED lighting, built-in Samsung stainless steel appliances, built-in floating shelves, and a large island that overlooks the main living area! The elegant primary bath includes a large soaker tub, tiled walk-in shower, double vanity sinks, and water closet for privacy. Fall in love with the primary closet for all the extra space and storage you get with 3rd row shelving! Right off the spacious garage you will find a built-in mud bench with extra storage and shelving! The covered back patio and awesome backyard make this home a great place to entertain."
"$369,900 ",4bd,3ba,"2,780 sqft",2724 Sunflower Dr,Edmond,OK,73013,"Beautiful 2 story home in the Hidden Prairie at Kelly Point III addition. This home has an open floor plan with 9” ceilings thru-out, fireplace in living room that's open to the kitchen. Large eating space. The office has beautiful double French doors with wood floors. The kitchen boasts granite countertops, stainless steel appliances, a pantry and a breakfast bar. 3 beds are down and one bedroom upstairs with a full bath, large walk in closet and the game room! The luxurious master suite is on the lower level and offers a double vanity, separate tub and shower and spacious walk-in closet. Inside utility room with storage. Covered front porch & covered patio and a large backyard. Community walking trails and ponds. Edmond Schools. Great location with easy access to the Kiilpatrick Turnpike, Broadway Extension & I35. Buyer to verify schools."
"$149,900 ",3bd,2ba,"1,642 sqft (on 0.33 acres)",3591 Cox St,Choctaw,OK,73020,Nice 3 bed 1.5 bath on a third of an acre. in Choctaw. Great starter home. Garage has been converted to give you a 2nd living room. Storm shelter in backyard. new paint and newer flooring throughout. Do not miss opportunity to see this home! New Roof New Gutters! Call todayfor a private showing
"$259,900 ",3bd,3ba,"2,389 sqft (on 5 acres)",3319 Ives Way,Choctaw,OK,73020,"This unique dome home is loaded with retro charm and sits on a beautiful 5 ACRES. This is a very ENERGY EFFICIENT home. New AC, New AEROBIC SEPTIC SYSTEM. Very spacious with 2,389 sq. ft., 3 bedrooms, 3 full bathrooms, bonus space, great flow, tons of storage, GATED ENTRY, covered parking, storage shed, mature trees, raised beds, green house, animal barn, and more. Located close to downtown OKC, Tinker AFB, and Highway Access. Homes like this do not come available often. Call now for a private showing."
"$434,900 ",4bd,3ba,"2,879 sqft (on 0.83 acres)",15217 SE 58th St,Choctaw,OK,73020,"Gorgeous home with everything you need! Amazing open floor plan with 4 true bedrooms, 3 full bathrooms, 2 dining areas, 2 living rooms (second living could easily be used for a study, bedroom, or whatever you like)! Granite counters throughout! Wonderful kitchen offers stainless steel appliances, large pantry, tons of counter space, and a breakfast bar! Large living area with a cozy fireplace! Master bedroom is HUGE with a wonderful master bath suite that offers a large walk-in shower, double vanities, whirlpool tub, and walk-in closet! Tile through out most of home except for carpet in bedrooms and 2nd living. Large laundry room with storage and a deep large sink! Inground sprinkler system that covers the front including flowerbeds. Storm shelter in garage! Fire suppresant system throughout home that should save on your insurance premium! Extra drive way leading to backyard! Last, but certainly not least...you'll love the community pool, splash pad, park, dog park, & basketball court!"
"$499,500 ",3bd,4ba,"2,700 sqft (on 1.26 acres)",3120 Clint Ct,Choctaw,OK,73020,"Make your design appointment today!! Come and see this new exclusive new subdivision in Choctaw!! Porch Paradise will specialize in homes with large porches and beautiful views. This home will feature a bonus room with half bath, cathedral ceilings, open floor plans, large porch, and so much more!! This one won't last!"
"$469,901 ",4bd,3ba,"2,582 sqft (on 0.82 acres)",5600 Asheville Way,Choctaw,OK,73020,"Our Bedford floor plan with over 2400+ sqft living boasts great porch views and space for the whole family. One of the unique features of this popular home plan is the show-stopping entry porch that offers a perfect place for a porch swing or relaxing outdoor furniture that evokes old-fashioned, carefree living. The beautiful 4 bed 2/5 bath opens to dining room that leads you into welcoming open-concept living room with corner fireplace. This home has a gourmet kitchen featuring beautiful cabinetry, granite countertops, and a breakfast bar. The kitchen opens up to well-lit breakfast area and has access to open covered patio. A private hallway leads the way to the master suite, which features high ceilings and a relaxing master bathroom with dual-sink vanity, soaking tub, separate shower, private toilet, and walk-in closet. The 3 bedrooms have their own private hallway and shared bath. Highlights include laundry room and a powder bath conveniently located off the entry"
"$292,500 ",4bd,2ba,"1,808 sqft (on 0.56 acres)",2596 Greystone Ln,Choctaw,OK,73020,"Estimated Time of Completion is 12/10/21 Be in your new home by Christmas. Come look at this brand new build in Subdivision of Greystone in Choctaw, This Beautiful home will sit on just over a 1/2 acre lot in a cul-de-sac surrounded by beautiful trees and a POND view right from your back yard. Let D7 Enterprises Inc. build your dream home, depending on contract date buyer may be able to pick out interior colors and flooring, open concept living space, 4 BR 2 Baths all very spacious bedrooms with walk in closets, large utility. Also NO HOA! Features for interior and exterior coming soon with more pictures."
