Address,City,State,Zip,AppraisalValue,sqft,beds,baths,yearbuilt,renoyear,DaysOnMarket,LastSaleDate,SalesDate,SaleType,Lat,Long
5029 Federal Ct,Oklahoma City,OK,,Price Unknown,"1,303 sqft",3,1.0,1977.0,,,,,AUCTION,,
620 SW 49th St,Oklahoma City,OK,,Price Unknown,"1,103 sqft",3,1.0,1949.0,,,,,AUCTION,,
9500 SW 33rd St,Oklahoma City,OK,,Price Unknown,"2,755 sqft (on 0.29 acres)",4,4.0,1994.0,,,,,"AUCTION
0.29 ACRES",,
2408 N Glenhaven Dr,Oklahoma City,OK,,,"2,572 sqft",Studio,2.5,,,,,,BANK OWNED,,
16200 Royal Crest Ln,Edmond,OK,,Price Unknown,"2,203 sqft (on 3 acres)",4,2.0,2014.0,,,,,AUCTION,,
30708 Kickapoo Rd,Mcloud,OK,,,"1,486 sqft (on 1 acre)",3,2.0,1950.0,,,,,"BANK OWNED
3 ACRES",,
1226 W Heidi Way,Mustang,OK,,Price Unknown,"1,291 sqft",3,1.0,1984.0,,,,,"AUCTION
1 ACRE",,
339 E Carson Ln,Mustang,OK,,Price Unknown,"1,710 sqft (on 1.37 acres)",3,2.0,1975.0,,,,,AUCTION,,
990 County Street 2976,Blanchard,OK,,Price Unknown,"3,680 sqft (on 0.44 acres)",3,3.0,1987.0,,,,,"AUCTION
1.37 ACRES",,
12625 Chisholm Spur,Yukon,OK,,Price Unknown,"1,702 sqft",7,2.0,1996.0,,,,,"AUCTION
0.44 ACRES",,
1038 Cambridge Dr,Yukon,OK,,,"1,200 sqft",3,2.0,1974.0,,,,,BANK OWNED,,
1408 Bill Carroll Dr,Norman,OK,,Price Unknown,"1,353 sqft",3,2.0,1972.0,,,,,AUCTION,,
213 Cindy Ave,Norman,OK,,Price Unknown,,3,,1980.0,,,,,AUCTION,,
5925 SE 68TH ST,OKLAHOMA CITY,OK,,"115,000","1,555",3,2.0,2004.0,,,,11/4/2021,Sheriff,,
16716 COVINGTON MNR,OKLAHOMA CITY,OK,,"240,000",,100,,,,,,11/4/2021,Sheriff,,
620 SW 49TH ST,OKLAHOMA CITY,OK,,"80,000","1,103",3,1.0,1949.0,,,,11/4/2021,Sheriff,,
4920 SE 58TH PL,OKLAHOMA CITY,OK,,"125,000","2,234",4,2.0,1978.0,,,,11/4/2021,Sheriff,,
3024 OVERLAND DR,DEL CITY,OK,,"45,000","1,958",3,1.5,1964.0,1979.0,,,11/4/2021,Sheriff,,
5916 SE 69TH ST,OKLAHOMA CITY,OK,,"130,000","1,411",3,2.0,2004.0,,,,11/4/2021,Sheriff,,
7101 NW 20TH ST,BETHANY,OK,,"35,000",810,3,1.0,1964.0,,,,11/4/2021,Sheriff,,
16200 ROYAL CREST LN,OKLAHOMA CITY,OK,,"320,000",,100,,,,,,11/4/2021,Sheriff,,
1704 LEAWOOD DR,EDMOND,OK,,"210,000","2,133",4,2.0,1977.0,,,,11/4/2021,Sheriff,,
8332 NW 110TH TER,OKLAHOMA CITY,OK,,"150,000","1,956",3,2.0,1983.0,,,,11/4/2021,Sheriff,,
1028 SW 53RD ST,OKLAHOMA CITY,OK,,"80,000","1,574",3,1.0,1958.0,2008.0,,,11/4/2021,Sheriff,,
6025 NW 54TH ST,WARR ACRES,OK,,"16,000",,100,,,,,,11/4/2021,Sheriff,,
9317 APPLE DR,MIDWEST CITY,OK,,"165,000","1,883",3,2.0,2004.0,,,,11/4/2021,Sheriff,,
3801 OLD FOREST LN,OKLAHOMA CITY,OK,,"1,200,000","5,633",4,5.0,2006.0,,,,11/4/2021,Sheriff,,
4201 NW 50TH ST,OKLAHOMA CITY,OK,,"50,000","1,905",3,2.0,1964.0,,,,11/4/2021,Sheriff,,
4521 SE 80TH ST,OKLAHOMA CITY,OK,,"120,000","1,223",3,2.0,2006.0,,,,11/4/2021,Sheriff,,
800 NW 140TH ST,OKLAHOMA CITY,OK,,"120,000",,100,,,,,,11/4/2021,Sheriff,,
3037 N ZEDNA DR,OKLAHOMA CITY,OK,,"65,000","1,392",3,1.0,1955.0,,,,11/4/2021,Sheriff,,
3212 NW 188TH TER,OKLAHOMA CITY,OK,,"190,000",,100,,,,,,11/4/2021,Sheriff,,
5029 FEDERAL CT,OKLAHOMA CITY,OK,,"90,000","1,303",3,2.0,1977.0,2003.0,,,11/4/2021,Sheriff,,
1400 MARYDALE AVE,MIDWEST CITY,OK,,"40,000",816,2,1.0,1955.0,,,,11/4/2021,Sheriff,,
7309 EDENBOROUGH DR,OKLAHOMA CITY,OK,,"70,000",,100,,,,,,11/4/2021,Sheriff,,
2408 W GLENHAVEN DR,MIDWEST CITY,OK,,"75,000","1,483",3,1.5,1954.0,1978.0,,,11/4/2021,Sheriff,,
9113 BROOKWOOD DR,MIDWEST CITY,OK,,"170,000","2,454",3,2.5,2004.0,,,,11/4/2021,Sheriff,,
1410 PINERIDGE RD,MIDWEST CITY,OK,,"500,000","5,644",4,3.0,2003.0,,,,11/4/2021,Sheriff,,
6404 BRENTFORD TER,OKLAHOMA CITY,OK,,"170,000","2,753",5,3.5,1971.0,2014.0,,,11/4/2021,Sheriff,,
2113 SW 68TH ST,OKLAHOMA CITY,OK,,"75,000","1,081",3,1.0,1955.0,1970.0,,,11/4/2021,Sheriff,,
2000 N SAINT LUKE AVE,MIDWEST CITY,OK,,"40,000","1,282",3,1.0,1952.0,1960.0,,,12/2/2021,Sheriff,,
3440 NW 176TH ST,OKLAHOMA CITY,OK,,"230,000",,100,,,,,,12/2/2021,Sheriff,,
3010 N CLASSEN BLVD,OKLAHOMA CITY,OK,,"110,000",,100,,,,,,12/2/2021,Sheriff,,
808 NW 141ST ST,OKLAHOMA CITY,OK,,"135,000",768,2,1.0,1948.0,1997.0,,,12/2/2021,Sheriff,,
700 NW 116TH ST,OKLAHOMA CITY,OK,,"110,000","1,507",3,1.5,1979.0,,,,12/2/2021,Sheriff,,
11909 BLUE MOON AVE,OKLAHOMA CITY,OK,,"100,000","1,366",3,2.0,1985.0,,,,12/2/2021,Sheriff,,
6321 WOODCREEK DR,WARR ACRES,OK,,"210,000","2,160",3,2.0,1996.0,,,,12/2/2021,Sheriff,,
917 NW 103RD ST,OKLAHOMA CITY,OK,,"35,000",834,2,1.0,1948.0,1970.0,,,12/2/2021,Sheriff,,
13301 HIGH SIERRA BLVD,OKLAHOMA CITY,OK,,"900,000",,100,,,,,,12/2/2021,Sheriff,,
4616 N LIBBY AVE,WARR ACRES,OK,,"100,000","1,463",2,2.0,1954.0,1975.0,,,12/2/2021,Sheriff,,
6721 CHERRY PL,OKLAHOMA CITY,OK,,"100,000","1,391",3,2.0,1967.0,1979.0,,,12/2/2021,Sheriff,,
2601 NW 27TH ST,OKLAHOMA CITY,OK,,"105,000","1,926",3,1.5,1939.0,1955.0,,,12/2/2021,Sheriff,,
4613 NW 28TH ST,OKLAHOMA CITY,OK,,"170,000","2,380",3,2.5,1965.0,,,,12/2/2021,Sheriff,,
322 E ROSE DR,MIDWEST CITY,OK,,"40,000",725,2,1.0,1950.0,1985.0,,,12/2/2021,Sheriff,,
700 E TOWRY DR,MIDWEST CITY,OK,,"100,000","1,134",3,1.5,1955.0,,,,12/2/2021,Sheriff,,
418 E NORTHRUP DR,MIDWEST CITY,OK,,"45,000",819,2,1.0,1948.0,,,,12/2/2021,Sheriff,,
16817 SHORERUN DR,OKLAHOMA CITY,OK,,"800,000",,100,,,,,,12/2/2021,Sheriff,,
221 OAK TREE DR,MIDWEST CITY,OK,,"110,000","1,641",3,2.0,1983.0,,,,12/2/2021,Sheriff,,
6058 NW EXPRESSWAY ST,OKLAHOMA CITY,OK,,"30,000",816,1,1.0,1979.0,,,,12/16/2021,Sheriff,,
13525 HUMMINGBIRD DR,CHOCTAW,OK,,"175,000","2,056",3,2.0,1978.0,2004.0,,,12/16/2021,Sheriff,,
532 SW 52ND ST,OKLAHOMA CITY,OK,,"110,000","2,126",3,2.0,1953.0,,,,12/16/2021,Sheriff,,
1404 SW 54TH ST,OKLAHOMA CITY,OK,,"60,000",984,2,1.0,1950.0,1975.0,,,12/16/2021,Sheriff,,
431 NW 47TH ST,OKLAHOMA CITY,OK,,"110,000","1,258",3,1.0,1950.0,,,,12/16/2021,Sheriff,,
3712 CHETWOOD DR,DEL CITY,OK,,"90,000","1,600",3,2.0,1966.0,2010.0,,,12/16/2021,Sheriff,,
3216 CUMBERLAND DR,EDMOND,OK,,"550,000","3,896",4,4.0,2007.0,,,,12/16/2021,Sheriff,,
2624 SW 48TH ST,OKLAHOMA CITY,OK,,"20,000",843,2,1.0,1954.0,1980.0,,,12/16/2021,Sheriff,,
5285 W LAKEVIEW DR,UNINCORPORATED,OK,,"150,000",,100,,,,,,12/16/2021,Sheriff,,
3124 SW 40TH ST,OKLAHOMA CITY,OK,,"45,000","1,233",4,1.5,1951.0,2000.0,,,12/16/2021,Sheriff,,
16624 SUNNY HOLLOW RD,OKLAHOMA CITY,OK,,"150,000","2,254",3,2.0,1986.0,1987.0,,,12/16/2021,Sheriff,,
3608 SHADYBROOK DR,MIDWEST CITY,OK,,"80,000","1,405",3,2.0,1959.0,,,,12/16/2021,Sheriff,,
4920 NW 18TH TER,OKLAHOMA CITY,OK,,"120,000","1,464",3,2.0,1966.0,,,,12/16/2021,Sheriff,,
5417 S MCKINLEY AVE,OKLAHOMA CITY,OK,,"80,000",959,3,1.5,1963.0,,,,12/16/2021,Sheriff,,
1200 W WOODLANE DR,MIDWEST CITY,OK,,"160,000","2,280",3,2.5,1961.0,,,,12/16/2021,Sheriff,,
8900 KIMBERLY RD,OKLAHOMA CITY,OK,,"90,000","1,631",3,2.0,1979.0,,,,12/16/2021,Sheriff,,
15825 SONYA WAY,OKLAHOMA CITY,OK,,"135,000","1,557",3,2.0,2011.0,,,,12/16/2021,Sheriff,,
2933 SW 63RD ST,OKLAHOMA CITY,OK,,"60,000","1,492",3,1.5,1960.0,,,,12/16/2021,Sheriff,,
1021 HOWARD DR,DEL CITY,OK,,"80,000","1,140",3,2.0,1961.0,1970.0,,,12/16/2021,Sheriff,,
5308 SE 12TH ST,DEL CITY,OK,,"115,000","1,527",3,2.0,1963.0,2005.0,,,12/16/2021,Sheriff,,
541 OAK PARK DR,CHOCTAW,OK,,"80,000","1,163",3,1.0,1978.0,2005.0,,,12/16/2021,Sheriff,,
6925 BRIARCREEK DR,OKLAHOMA CITY,OK,,"160,000","2,920",4,2.0,1983.0,,,,12/16/2021,Sheriff,,
1013 SANDY LN,CHOCTAW,OK,,"70,000","1,104",4,2.0,1963.0,,,,12/16/2021,Sheriff,,
1816 NE 26TH ST,OKLAHOMA CITY,OK,,"45,000","1,136",3,1.5,1957.0,,,,12/16/2021,Sheriff,,
3221 CHETWOOD DR,DEL CITY,OK,,"55,000","1,144",3,1.5,1963.0,2002.0,,,12/16/2021,Sheriff,,
4912 S DREXEL AVE,OKLAHOMA CITY,OK,,"30,000",875,3,1.0,1953.0,,,,12/16/2021,Sheriff,,
5511 JUDY DR,DEL CITY,OK,,"130,000","1,897",3,2.0,1964.0,2000.0,,,12/16/2021,Sheriff,,
2120 SHOREWOOD LN,EDMOND,OK,,"140,000","1,610",3,2.0,1984.0,,,,12/16/2021,Sheriff,,
728 MUSGRAVE BLVD,OKLAHOMA CITY,OK,,"45,000","1,132",3,2.0,1971.0,1978.0,,,12/16/2021,Sheriff,,
4706 S BLACKWELDER AVE,OKLAHOMA CITY,OK,,"45,000",891,3,1.0,1958.0,,,,12/16/2021,Sheriff,,
